id,llm_wer,baseline_wer,ground_truth,llm_prediction,baseline_prediction
16,0.1,0.0,he is also a member of the royal irish academy,He is also a member of the Royal Iris Academy.,he is also a member of the royal irish academy
20,0.11,0.0,you just really can't tell what's going to happen,You just really can't tell what's going to.,you just really can't tell what's going to happen
23,0.2,0.0,it's really not too difficult,It's really not too.,it's really not too difficult
53,0.14,0.0,he said he's been saying one more,He said he's been seeing one more.,he said he's been saying one more
54,0.0,0.12,i can't really think of anything else offhand,I can't really think of anything else offhand.,i can't really think of anything else fate
55,0.11,0.0,i couldn't even think of what you call them,I couldn't mission think of what you call them.,i couldn't even think of what you call them
74,0.1,0.2,i guess we don't really use that many tin cans,I guess we don't really use that many tin cats.,i guess we don't really use that many ten cats
77,0.0,0.2,he had a hot pad,He had a hot pad.,he had a hot pan
84,0.09,0.0,do you go by the ads when you look at them,Do you go by the hands when you look at them?,do you go by the ads when you look at them
92,0.17,0.33,their economy's a little bit weak,their condiments a little bit weak.,their economy it's a little bit weak
